id,nombre,costo_unitario,iva
467,Televisor LED,128633,24440.27
468,Vestido de noche,333739,63410.41
469,Máquina de ejercicio,639859,121573.21
470,Máquina de ejercicio,174686,33190.34
471,Tableta,103414,19648.66
472,Tableta,387158,73560.02
473,Reloj inteligente,688969,130904.11
474,Bicicleta de montaña,405414,77028.66
475,Gafas de sol,379154,72039.26
476,Laptop,713592,135582.48
477,Máquina de ejercicio,640480,121691.20
478,Tableta,796943,151419.17
479,Gafas de sol,657739,124970.41
480,Televisor LED,440482,83691.58
481,Tableta,562342,106844.98
482,Refrigerador,758779,144168.01
483,Reloj inteligente,307418,58409.42
484,Cafetera,668027,126925.13
485,Tableta,616322,117101.18
486,Licuadora,608784,115668.96
487,Refrigerador,566314,107599.66
488,Televisor LED,557725,105967.75
489,Máquina de ejercicio,672911,127853.09
490,Vestido de noche,733515,139367.85
491,Smartphone,280603,53314.57
492,Tableta,439702,83543.38
493,Vestido de noche,462684,87909.96
494,Impresora láser,600917,114174.23
495,Laptop,585704,111283.76
496,Bicicleta de montaña,642954,122161.26
497,Zapatos deportivos,277879,52797.01
498,Máquina de ejercicio,148358,28188.02
499,Vestido de noche,601052,114199.88
500,Laptop,205852,39111.88
501,Perfume,360451,68485.69
502,Bicicleta de montaña,133667,25396.73
503,Maleta de viaje,495302,94107.38
504,Tableta,586757,111483.83
505,Bicicleta de montaña,285336,54213.84
506,Reloj inteligente,178770,33966.30
507,Vestido de noche,494414,93938.66
508,Juego de sartenes,703581,133680.39
509,Máquina de ejercicio,651022,123694.18
510,Refrigerador,792921,150654.99
511,Perfume,371888,70658.72
512,Reloj inteligente,612074,116294.06
513,Vestido de noche,327438,62213.22
514,Juego de sartenes,718776,136567.44
515,Gafas de sol,88677,16848.63
516,Reloj inteligente,541281,102843.39
517,Cafetera,284456,54046.64
518,Juego de sartenes,212105,40299.95
519,Altavoz Bluetooth,388070,73733.30
520,Perfume,589668,112036.92
521,Televisor LED,51470,9779.30
522,Tableta,675701,128383.19
523,Auriculares inalámbricos,538456,102306.64
524,Cafetera,796374,151311.06
525,Tableta,444218,84401.42
526,Smartphone,327518,62228.42
527,Juego de sartenes,413302,78527.38
528,Juego de sartenes,422412,80258.28
529,Juego de sartenes,321009,60991.71
530,Maleta de viaje,426965,81123.35
531,Gafas de sol,251871,47855.49
532,Bicicleta de montaña,744751,141502.69
533,Perfume,732892,139249.48
534,Auriculares inalámbricos,306580,58250.20
535,Impresora láser,749561,142416.59
536,Laptop,192719,36616.61
537,Zapatos deportivos,253564,48177.16
538,Maleta de viaje,326836,62098.84
539,Zapatos deportivos,310225,58942.75
540,Cafetera,769047,146118.93
541,Licuadora,763341,145034.79
542,Maleta de viaje,297554,56535.26
543,Laptop,368680,70049.20
544,Licuadora,204020,38763.80
545,Tableta,256718,48776.42
546,Auriculares inalámbricos,653113,124091.47
547,Cafetera,304022,57764.18
548,Cafetera,727413,138208.47
549,Refrigerador,557080,105845.20
550,Licuadora,536453,101926.07
551,Vestido de noche,161672,30717.68
552,Laptop,796654,151364.26
553,Maleta de viaje,580733,110339.27
554,Cafetera,493429,93751.51
555,Juego de sartenes,348144,66147.36
556,Televisor LED,76553,14545.07
557,Auriculares inalámbricos,535141,101676.79
558,Impresora láser,164776,31307.44
559,Impresora láser,192853,36642.07
560,Tableta,119448,22695.12
561,Licuadora,392899,74650.81
562,Licuadora,287253,54578.07
563,Licuadora,464077,88174.63
564,Gafas de sol,319322,60671.18
565,Smartphone,641846,121950.74
566,Refrigerador,395802,75202.38
567,Licuadora,346040,65747.60
568,Zapatos deportivos,465791,88500.29
569,Reloj inteligente,140525,26699.75
570,Juego de sartenes,311015,59092.85
571,Cámara digital,116884,22207.96
572,Auriculares inalámbricos,50356,9567.64
573,Maleta de viaje,660479,125491.01
574,Refrigerador,270621,51417.99
575,Cafetera,405037,76957.03
576,Laptop,568934,108097.46
577,Juego de sartenes,528534,100421.46
578,Reloj inteligente,648647,123242.93
579,Gafas de sol,436389,82913.91
580,Refrigerador,251546,47793.74
581,Auriculares inalámbricos,242823,46136.37
582,Auriculares inalámbricos,265277,50402.63
583,Auriculares inalámbricos,458840,87179.60
584,Vestido de noche,288855,54882.45
585,Smartphone,213036,40476.84
586,Gafas de sol,428313,81379.47
587,Zapatos deportivos,614343,116725.17
588,Licuadora,501096,95208.24
589,Laptop,201435,38272.65
590,Laptop,654870,124425.30
591,Cámara digital,445216,84591.04
592,Smartphone,775242,147295.98
593,Vestido de noche,157268,29880.92
594,Altavoz Bluetooth,654711,124395.09
595,Laptop,652636,124000.84
596,Reloj inteligente,375452,71335.88
597,Impresora láser,444220,84401.80
598,Juego de sartenes,610935,116077.65
599,Impresora láser,413391,78544.29
600,Vestido de noche,453896,86240.24
601,Maleta de viaje,396240,75285.60
602,Licuadora,439459,83497.21
603,Vestido de noche,75628,14369.32
604,Cafetera,714633,135780.27
605,Smartphone,368368,69989.92
606,Altavoz Bluetooth,645130,122574.70
607,Maleta de viaje,713156,135499.64
608,Altavoz Bluetooth,719661,136735.59
609,Refrigerador,319481,60701.39
610,Perfume,115389,21923.91
611,Zapatos deportivos,612405,116356.95
612,Tableta,603454,114656.26
613,Refrigerador,483888,91938.72
614,Juego de sartenes,229437,43593.03
615,Laptop,58609,11135.71
616,Reloj inteligente,757910,144002.90
617,Tableta,697146,132457.74
618,Laptop,209402,39786.38
619,Cafetera,741612,140906.28
620,Impresora láser,395101,75069.19
621,Bicicleta de montaña,248789,47269.91
622,Juego de sartenes,630788,119849.72
623,Máquina de ejercicio,112494,21373.86
624,Juego de sartenes,274410,52137.90
625,Bicicleta de montaña,796676,151368.44
626,Juego de sartenes,287039,54537.41
627,Tableta,373814,71024.66
628,Televisor LED,88877,16886.63
629,Gafas de sol,240856,45762.64
630,Refrigerador,707723,134467.37
631,Impresora láser,561704,106723.76
632,Smartphone,527746,100271.74
633,Reloj inteligente,657603,124944.57
634,Zapatos deportivos,516277,98092.63
635,Smartphone,109195,20747.05
636,Impresora láser,723118,137392.42
637,Perfume,580629,110319.51
638,Tableta,605852,115111.88
639,Licuadora,747062,141941.78
640,Smartphone,234413,44538.47
641,Juego de sartenes,455313,86509.47
642,Televisor LED,615834,117008.46
643,Televisor LED,309233,58754.27
644,Refrigerador,756022,143644.18
645,Bicicleta de montaña,700089,133016.91
646,Auriculares inalámbricos,786746,149481.74
647,Impresora láser,545776,103697.44
648,Smartphone,656502,124735.38
649,Cafetera,273788,52019.72
650,Juego de sartenes,395174,75083.06
651,Cámara digital,351302,66747.38
652,Máquina de ejercicio,681767,129535.73
653,Juego de sartenes,268015,50922.85
654,Reloj inteligente,230735,43839.65
655,Reloj inteligente,449834,85468.46
656,Reloj inteligente,57178,10863.82
657,Refrigerador,264629,50279.51
658,Perfume,331390,62964.10
659,Impresora láser,600598,114113.62
660,Refrigerador,696722,132377.18
661,Refrigerador,142160,27010.40
662,Reloj inteligente,798273,151671.87
663,Televisor LED,489452,92995.88
664,Licuadora,339016,64413.04
665,Zapatos deportivos,719191,136646.29
666,Laptop,252257,47928.83
667,Laptop,65923,12525.37
668,Licuadora,264488,50252.72
669,Maleta de viaje,632266,120130.54
670,Televisor LED,587505,111625.95
671,Gafas de sol,689586,131021.34
672,Perfume,418603,79534.57
673,Laptop,791819,150445.61
674,Juego de sartenes,69958,13292.02
675,Altavoz Bluetooth,785448,149235.12
676,Máquina de ejercicio,487381,92602.39
677,Cafetera,479460,91097.40
678,Cafetera,378475,71910.25
679,Gafas de sol,660636,125520.84
680,Máquina de ejercicio,447246,84976.74
681,Impresora láser,724186,137595.34
682,Auriculares inalámbricos,335639,63771.41
683,Gafas de sol,178697,33952.43
684,Altavoz Bluetooth,712956,135461.64
685,Cámara digital,793080,150685.20
686,Maleta de viaje,131204,24928.76
687,Bicicleta de montaña,713595,135583.05
688,Perfume,361407,68667.33
689,Reloj inteligente,564552,107264.88
690,Maleta de viaje,423640,80491.60
691,Laptop,509947,96889.93
692,Smartphone,544183,103394.77
693,Refrigerador,72087,13696.53
694,Laptop,311709,59224.71
695,Refrigerador,280597,53313.43
696,Máquina de ejercicio,570157,108329.83
697,Laptop,488308,92778.52
698,Vestido de noche,406955,77321.45
699,Vestido de noche,782281,148633.39
700,Altavoz Bluetooth,460081,87415.39
701,Licuadora,142611,27096.09
702,Laptop,650214,123540.66
703,Laptop,294031,55865.89
704,Cafetera,474454,90146.26
705,Máquina de ejercicio,116632,22160.08
706,Televisor LED,383727,72908.13
707,Impresora láser,757942,144008.98
708,Máquina de ejercicio,387782,73678.58
709,Máquina de ejercicio,643211,122210.09
710,Refrigerador,232455,44166.45
711,Impresora láser,580789,110349.91
712,Smartphone,343105,65189.95
713,Bicicleta de montaña,138621,26337.99
714,Altavoz Bluetooth,743662,141295.78
715,Vestido de noche,733552,139374.88
716,Vestido de noche,584353,111027.07
717,Reloj inteligente,97181,18464.39
718,Refrigerador,637816,121185.04
719,Altavoz Bluetooth,561568,106697.92
720,Laptop,636162,120870.78
721,Televisor LED,208297,39576.43
722,Bicicleta de montaña,629207,119549.33
723,Televisor LED,373913,71043.47
724,Vestido de noche,354352,67326.88
725,Tableta,397994,75618.86
726,Perfume,623706,118504.14
727,Vestido de noche,393530,74770.70
728,Laptop,782909,148752.71
729,Máquina de ejercicio,374104,71079.76
730,Juego de sartenes,735216,139691.04
731,Vestido de noche,322483,61271.77
732,Reloj inteligente,631137,119916.03
733,Zapatos deportivos,729318,138570.42
734,Tableta,467437,88813.03
735,Licuadora,358127,68044.13
736,Perfume,90020,17103.80
737,Gafas de sol,539077,102424.63
738,Tableta,575866,109414.54
739,Refrigerador,66516,12638.04
740,Televisor LED,156406,29717.14
741,Máquina de ejercicio,341015,64792.85
742,Tableta,260687,49530.53
743,Bicicleta de montaña,505466,96038.54
744,Gafas de sol,209164,39741.16
745,Smartphone,676190,128476.10
746,Perfume,139834,26568.46
747,Refrigerador,690398,131175.62
748,Licuadora,760014,144402.66
749,Televisor LED,472245,89726.55
750,Perfume,101697,19322.43
751,Refrigerador,226993,43128.67
752,Auriculares inalámbricos,663136,125995.84
753,Bicicleta de montaña,606123,115163.37
754,Reloj inteligente,256654,48764.26
755,Vestido de noche,522365,99249.35
756,Televisor LED,245832,46708.08
757,Licuadora,51976,9875.44
758,Reloj inteligente,772107,146700.33
759,Laptop,156999,29829.81
760,Licuadora,426011,80942.09
761,Vestido de noche,97899,18600.81
762,Licuadora,654763,124404.97
763,Cafetera,136826,25996.94
764,Juego de sartenes,658165,125051.35
765,Cafetera,141226,26832.94
766,Televisor LED,174577,33169.63
767,Juego de sartenes,665518,126448.42
768,Altavoz Bluetooth,490437,93183.03
769,Televisor LED,757143,143857.17
770,Smartphone,340600,64714.00
771,Smartphone,613175,116503.25
772,Reloj inteligente,742824,141136.56
773,Juego de sartenes,619007,117611.33
774,Impresora láser,397764,75575.16
775,Reloj inteligente,775366,147319.54
776,Tableta,600527,114100.13
777,Smartphone,264198,50197.62
778,Tableta,654649,124383.31
779,Vestido de noche,54016,10263.04
